invoice_date,invoice_no,stock_code,customer_id,quantity,unit_price,total_linea
"2010-12-01 08:26:00",536365,85123A,17850.0,6,2.55,15.30
"2010-12-01 08:26:00",536365,71053,17850.0,6,3.39,20.34
"2010-12-01 08:26:00",536365,84406B,17850.0,8,2.75,22.00
"2010-12-01 08:26:00",536365,84029G,17850.0,6,3.39,20.34
"2010-12-01 08:26:00",536365,84029E,17850.0,6,3.39,20.34
"2010-12-01 08:26:00",536365,22752,17850.0,2,7.65,15.30
"2010-12-01 08:26:00",536365,21730,17850.0,6,4.25,25.50
"2010-12-01 08:28:00",536366,22633,17850.0,6,1.85,11.10
"2010-12-01 08:28:00",536366,22632,17850.0,6,1.85,11.10
"2010-12-01 08:34:00",536367,84879,13047.0,32,1.69,54.08
"2010-12-01 08:34:00",536367,22745,13047.0,6,2.10,12.60
"2010-12-01 08:34:00",536367,22748,13047.0,6,2.10,12.60
"2010-12-01 08:34:00",536367,22749,13047.0,8,3.75,30.00
"2010-12-01 08:34:00",536367,22310,13047.0,6,1.65,9.90
"2010-12-01 08:34:00",536367,84969,13047.0,6,4.25,25.50
"2010-12-01 08:34:00",536367,22623,13047.0,3,4.95,14.85
"2010-12-01 08:34:00",536367,22622,13047.0,2,9.95,19.90
"2010-12-01 08:34:00",536367,21754,13047.0,3,5.95,17.85
"2010-12-01 08:34:00",536367,21755,13047.0,3,5.95,17.85
"2010-12-01 08:34:00",536367,21777,13047.0,4,7.95,31.80
"2010-12-01 08:34:00",536367,48187,13047.0,4,7.95,31.80
"2010-12-01 08:34:00",536368,22960,13047.0,6,4.25,25.50
"2010-12-01 08:34:00",536368,22913,13047.0,3,4.95,14.85
"2010-12-01 08:34:00",536368,22912,13047.0,3,4.95,14.85
"2010-12-01 08:34:00",536368,22914,13047.0,3,4.95,14.85
"2010-12-01 08:35:00",536369,21756,13047.0,3,5.95,17.85
"2010-12-01 08:45:00",536370,22728,12583.0,24,3.75,90.00
"2010-12-01 08:45:00",536370,22727,12583.0,24,3.75,90.00
"2010-12-01 08:45:00",536370,22726,12583.0,12,3.75,45.00
"2010-12-01 08:45:00",536370,21724,12583.0,12,0.85,10.20
"2010-12-01 08:45:00",536370,21883,12583.0,24,0.65,15.60
"2010-12-01 08:45:00",536370,10002,12583.0,48,0.85,40.80
"2010-12-01 08:45:00",536370,21791,12583.0,24,1.25,30.00
"2010-12-01 08:45:00",536370,21035,12583.0,18,2.95,53.10
"2010-12-01 08:45:00",536370,22326,12583.0,24,2.95,70.80
"2010-12-01 08:45:00",536370,22629,12583.0,24,1.95,46.80
"2010-12-01 08:45:00",536370,22659,12583.0,24,1.95,46.80
"2010-12-01 08:45:00",536370,22631,12583.0,24,1.95,46.80
"2010-12-01 08:45:00",536370,22661,12583.0,20,0.85,17.00
"2010-12-01 08:45:00",536370,21731,12583.0,24,1.65,39.60
"2010-12-01 08:45:00",536370,22900,12583.0,24,2.95,70.80
"2010-12-01 08:45:00",536370,21913,12583.0,12,3.75,45.00
"2010-12-01 08:45:00",536370,22540,12583.0,24,0.42,10.08
"2010-12-01 08:45:00",536370,22544,12583.0,24,0.42,10.08
"2010-12-01 08:45:00",536370,22492,12583.0,36,0.65,23.40
"2010-12-01 09:00:00",536371,22086,13748.0,80,2.55,204.00
"2010-12-01 09:01:00",536372,22632,17850.0,6,1.85,11.10
"2010-12-01 09:01:00",536372,22633,17850.0,6,1.85,11.10
"2010-12-01 09:02:00",536373,85123A,17850.0,6,2.55,15.30
"2010-12-01 09:02:00",536373,71053,17850.0,6,3.39,20.34
"2010-12-01 09:02:00",536373,84406B,17850.0,8,2.75,22.00
"2010-12-01 09:02:00",536373,20679,17850.0,6,4.95,29.70
"2010-12-01 09:02:00",536373,37370,17850.0,6,1.06,6.36
"2010-12-01 09:02:00",536373,21871,17850.0,6,1.06,6.36
"2010-12-01 09:02:00",536373,21071,17850.0,6,1.06,6.36
"2010-12-01 09:02:00",536373,21068,17850.0,6,1.06,6.36
"2010-12-01 09:02:00",536373,82483,17850.0,2,4.95,9.90
"2010-12-01 09:02:00",536373,82486,17850.0,4,6.95,27.80
"2010-12-01 09:02:00",536373,82482,17850.0,6,2.10,12.60
"2010-12-01 09:02:00",536373,82494L,17850.0,6,2.55,15.30
"2010-12-01 09:02:00",536373,84029G,17850.0,6,3.39,20.34
"2010-12-01 09:02:00",536373,84029E,17850.0,6,3.39,20.34
"2010-12-01 09:02:00",536373,22752,17850.0,2,7.65,15.30
"2010-12-01 09:02:00",536373,21730,17850.0,6,4.25,25.50
"2010-12-01 09:09:00",536374,21258,15100.0,32,10.95,350.40
"2010-12-01 09:32:00",536375,85123A,17850.0,6,2.55,15.30
"2010-12-01 09:32:00",536375,71053,17850.0,6,3.39,20.34
"2010-12-01 09:32:00",536375,84406B,17850.0,8,2.75,22.00
"2010-12-01 09:32:00",536375,20679,17850.0,6,4.95,29.70
"2010-12-01 09:32:00",536375,37370,17850.0,6,1.06,6.36
"2010-12-01 09:32:00",536375,21871,17850.0,6,1.06,6.36
"2010-12-01 09:32:00",536375,21071,17850.0,6,1.06,6.36
"2010-12-01 09:32:00",536375,21068,17850.0,6,1.06,6.36
"2010-12-01 09:32:00",536375,82483,17850.0,2,4.95,9.90
"2010-12-01 09:32:00",536375,82486,17850.0,4,6.95,27.80
"2010-12-01 09:32:00",536375,82482,17850.0,6,2.10,12.60
"2010-12-01 09:32:00",536375,82494L,17850.0,6,2.55,15.30
"2010-12-01 09:32:00",536375,84029G,17850.0,6,3.39,20.34
"2010-12-01 09:32:00",536375,84029E,17850.0,6,3.39,20.34
"2010-12-01 09:32:00",536375,22752,17850.0,2,7.65,15.30
"2010-12-01 09:32:00",536375,21730,17850.0,6,4.25,25.50
"2010-12-01 09:32:00",536376,22114,15291.0,48,3.45,165.60
"2010-12-01 09:32:00",536376,21733,15291.0,64,2.55,163.20
"2010-12-01 09:34:00",536377,22632,17850.0,6,1.85,11.10
"2010-12-01 09:34:00",536377,22633,17850.0,6,1.85,11.10
"2010-12-01 09:37:00",536378,22386,14688.0,10,1.95,19.50
"2010-12-01 09:37:00",536378,85099C,14688.0,10,1.95,19.50
"2010-12-01 09:37:00",536378,21033,14688.0,10,2.95,29.50
"2010-12-01 09:37:00",536378,20723,14688.0,10,0.85,8.50
"2010-12-01 09:37:00",536378,84997B,14688.0,12,3.75,45.00
"2010-12-01 09:37:00",536378,84997C,14688.0,6,3.75,22.50
"2010-12-01 09:37:00",536378,21094,14688.0,12,0.85,10.20
"2010-12-01 09:37:00",536378,20725,14688.0,10,1.65,16.50
"2010-12-01 09:37:00",536378,21559,14688.0,6,2.55,15.30
"2010-12-01 09:37:00",536378,22352,14688.0,6,2.55,15.30
"2010-12-01 09:37:00",536378,21212,14688.0,120,0.42,50.40
"2010-12-01 09:37:00",536378,21975,14688.0,24,0.55,13.20
"2010-12-01 09:37:00",536378,21977,14688.0,24,0.55,13.20
"2010-12-01 09:37:00",536378,84991,14688.0,24,0.55,13.20
"2010-12-01 09:37:00",536378,84519A,14688.0,6,2.95,17.70
"2010-12-01 09:37:00",536378,85183B,14688.0,48,1.25,60.00
"2010-12-01 09:37:00",536378,85071B,14688.0,96,0.38,36.48
"2010-12-01 09:37:00",536378,21931,14688.0,10,1.95,19.50
"2010-12-01 09:37:00",536378,21929,14688.0,10,1.95,19.50
"2010-12-01 09:41:00",536380,22961,17809.0,24,1.45,34.80
"2010-12-01 09:41:00",536381,22139,15311.0,23,4.25,97.75
"2010-12-01 09:41:00",536381,84854,15311.0,5,4.95,24.75
"2010-12-01 09:41:00",536381,22411,15311.0,10,1.95,19.50
"2010-12-01 09:41:00",536381,82567,15311.0,2,2.10,4.20
"2010-12-01 09:41:00",536381,21672,15311.0,6,1.25,7.50
"2010-12-01 09:41:00",536381,22774,15311.0,24,1.25,30.00
"2010-12-01 09:41:00",536381,22771,15311.0,24,1.25,30.00
"2010-12-01 09:41:00",536381,71270,15311.0,1,1.25,1.25
"2010-12-01 09:41:00",536381,22262,15311.0,1,0.85,0.85
"2010-12-01 09:41:00",536381,22637,15311.0,1,2.55,2.55
"2010-12-01 09:41:00",536381,21934,15311.0,10,1.65,16.50
"2010-12-01 09:41:00",536381,21169,15311.0,3,1.69,5.07
"2010-12-01 09:41:00",536381,21166,15311.0,1,1.95,1.95
"2010-12-01 09:41:00",536381,21175,15311.0,2,2.10,4.20
"2010-12-01 09:41:00",536381,37444A,15311.0,1,2.95,2.95
"2010-12-01 09:41:00",536381,37444C,15311.0,1,2.95,2.95
"2010-12-01 09:41:00",536381,22086,15311.0,4,2.95,11.80
"2010-12-01 09:41:00",536381,22083,15311.0,1,2.95,2.95
"2010-12-01 09:41:00",536381,84971S,15311.0,6,0.85,5.10
"2010-12-01 09:41:00",536381,71270,15311.0,3,1.25,3.75
